"cid","sid","c_name","typ","charge","c_using","amount","c_create_date"
"115300020","11530002","롯데마트 구로점","급속","DC차데모+AC3상","사용중","50","Wed Sep 23 14:08:19 2020"
"115300070","11530007","천왕역 환승주차장","급속","DC차데모+AC3상","사용중","50","Wed Sep 23 14:08:19 2020"
"115300080","11530008","구로리공원 앞(공중전화부스)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"115450010","11545001","홈플러스 시흥점","급속","DC차데모+AC3상","사용중","50","Wed Sep 23 14:08:19 2020"
"115450050","11545005","독산1동 공영주차장","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"115450060","11545006","제일모직아울렛 건너편(공중전화부스)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"115600050","11560005","영등포구 대신시장(공중전화부스)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"115900060","11590006","현대차 남부서비스센터","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"115900080","11590008","동작주차공원 공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"116200070","11620007","조원동 제1공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"116500030","11650003","사당역 공영주차장","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"116500050","11650005","이마트 양재점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"116800010","11680001","수서역 공영주차장","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"116800020","11680002","학여울역 공영주차장","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"116800120","11680012","개포동공원 공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"116800130","11680013","탄천제2호 공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"117100010","11710001","롯데마트 잠실점","급속","DC차데모+AC3상","사용불가","50","Wed Sep 23 14:08:19 2020"
"117400040","11740004","이마트 명일점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"262000010","26200001","홈플러스 영도점","급속"," DC차데모","사용가능","50","Wed Sep 23 14:08:19 2020"
"262600020","26260002","온천장역 공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"262900020","26290002","이마트 문현점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"263800020","26380002","하단역 공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"264100010","26410001","이마트 금정점","급속"," DC차데모","사용불가","50","Wed Sep 23 14:08:19 2020"
"264100020","26410002","남산역 공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"264400040","26440004","부산환경공단 명지사업소","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"264700030","26470003","홈플러스 아시아드점","급속","DC차데모+AC3상","사용불가","50","Wed Sep 23 14:08:19 2020"
"264700040","26470004","이마트 연제점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"265300040","26530004","학장천 공영주차장","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"267100010","26710001","장안휴게소(울산방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"267100030","26710003","기장군청","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"271400050","27140005","성명맨션 앞(공중전화부스)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"271400060","27140006","망우당공원 택시쉼터","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"271700020","27170002","원평치안센터(공중전화부스)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"272300050","27230005","만평네거리 북편 공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"272600050","27260005","대구교통연수원","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"272900050","27290005","성서국민체육센터","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"277100030","27710003","홀마트 앞 (공중전화부스)","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"281100040","28110004","인천공항 정부합동청사","급속","DC차데모+AC3상","사용중","50","Wed Sep 23 14:08:19 2020"
"281100070","28110007","롯데마트 영종도점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"281100080","28110008","차이나타운 주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"281400010","28140001","송림체육관","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"281700030","28170003","홈플러스 인하점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"281850040","28185004","이마트 연수점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"282000020","28200002","홈플러스 구월점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"282450020","28245002","계양구 공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"282600070","28260007","인천서구청 제1주차장","급속","DC차데모+AC3상","사용중","50","Wed Sep 23 14:08:19 2020"
"282600080","28260008","홈플러스 가좌점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"291100020","29110002","소태역 환승주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"291400040","29140004","광주시청","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"291400041","29140004","광주시청","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"291550010","29155001","송암동주민센터","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"291700030","29170003","광주문화예술회관","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"291700040","29170004","중소기업진흥공단 호남연수원","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"301100010","30110001","홈플러스 동대전점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"302000030","30200003","대전월드컵경기장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"311100020","31110002","울산 중구 동천체육관","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"311700020","31170002","울산 동구 전하체육센터","급속","DC차데모+AC3상+DC콤보","사용불가","50","Wed Sep 23 14:08:19 2020"
"312000010","31200001","울산시 북구청","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"312000020","31200002","농소2동 주민센터","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"317100040","31710004","울산 울주군 서생면사무소","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"361100010","36110001","첫마을 BRT 환승주차장 A","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"361100020","36110002","첫마을 BRT 환승주차장 B","급속","DC차데모+AC3상+DC콤보","사용불가","50","Wed Sep 23 14:08:19 2020"
"411100030","41110003","홈플러스 동수원점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"411100070","41110007","이마트 서수원점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"411110010","41111001","장안구청","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"411150010","41115001","수원화성박물관","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"411170010","41117001","롯데마트 영통점","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"411300010","41130001","이마트 성남점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"411300020","41130002","성남시청","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"411330020","41133002","동양컴퓨터학원 앞(공중전화부스)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"411350010","41135001","율동자연공원 B주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"411350020","41135002","성남 맛고을 주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"411350030","41135003","하나로마트 성남점","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"411500040","41150004","홈플러스 의정부점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"411700010","41170001","홈플러스 안양점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"411730010","41173001","안양시청","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"411900010","41190001","이마트 중동점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"412200010","41220001","비전 공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"412700020","41270002","홈플러스 안산점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"412730010","41273001","안산문화예술의전당","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"412800160","41280016","롯데마트 주엽점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"412800170","41280017","롯데마트 고양점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"412870010","41287001","고양종합운동장 부설주차장","급속","DC차데모+AC3상+DC콤보","사용불가","50","Wed Sep 23 14:08:19 2020"
"412900020","41290002","과천시청","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"413600030","41360003","이마트 도농점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"413600040","41360004","별내동주민센터","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"413600050","41360005","롯데마트 마석점","급속","DC차데모+AC3상+DC콤보","사용불가","50","Wed Sep 23 14:08:19 2020"
"413900020","41390002","홈플러스 시화점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"414300020","41430002","의왕휴게소(서울방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"414300030","41430003","의왕휴게소(의왕방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"414500030","41450003","이마트 하남점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"414500040","41450004","서하남휴게소(판교방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"414600020","41460002","이마트 보라점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"414600030","41460003","이마트 죽전점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"414800020","41480002","홈플러스 파주문산점","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"415000020","41500002","이마트 이천점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"415000040","41500004","롯데마트 마장휴게소점(통영방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"415700020","41570002","홈플러스 풍무점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"415900020","41590002","홈플러스 병점점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"415900060","41590006","송산포도휴게소(평택방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"415900070","41590007","송산포도휴게소(시흥방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"416100010","41610001","경안동 공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"418000010","41800001","연천군청","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"421100020","42110002","하나로마트 퇴계점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"421100030","42110003","춘천휴게소(부산방향)","급속","DC차데모+AC3상+DC콤보","사용불가","50","Wed Sep 23 14:08:19 2020"
"421300030","42130003","문막휴게소(강릉방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"421300040","42130004","치악휴게소(부산방향)","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"421300050","42130005","치악휴게소(춘천방향)","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"421500010","42150001","강릉시청","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"421500040","42150004","정동진해변 주차장","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"421700020","42170002","동해문화예술회관","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"422300010","42230001","삼척시청","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"427200010","42720001","홍천강휴게소(춘천방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"427200020","42720002","홍천군청","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"427300030","42730003","횡성휴게소(인천방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"427300040","42730004","횡성휴게소(강릉방향)","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"427600010","42760001","평창알펜시아리조트","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"427600040","42760004","평창휴게소(인천방향)","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"427800020","42780002","고석정주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"428100010","42810001","인제군농특산물전시판매장","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"428300010","42830001","38선 휴게소","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"431110010","43111001","충북도청","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"431130010","43113001","청주시 차량등록사업소","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"431300040","43130004","충주시청 의회동주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"431500020","43150002","제천시청","급속","DC차데모+AC3상+DC콤보","사용불가","50","Wed Sep 23 14:08:19 2020"
"431500030","43150003","충북제천시 관광정보센터","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"431500040","43150004","수산복지회관","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"437100030","43710003","KTX오송역 공영주차장","급속","DC차데모+AC3상","사용불가","50","Wed Sep 23 14:08:19 2020"
"437200020","43720002","속리산휴게소(청원방향)","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"437300020","43730002","옥천읍사무소","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"437400020","43740002","영동읍사무소","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"437450010","43745001","증평인삼관광휴게소","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"437600020","43760002","괴산국민체육센터","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"437600030","43760003","푸른내문화센터","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"438000010","43800001","단양휴게소(부산방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"438000020","43800002","단양휴게소(춘천방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"438000030","43800003","단양관광안내소(단양팔경)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"441330020","44133002","입장휴게소(서울방향)","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"441330030","44133003","천안휴게소(부산방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"441500020","44150002","정안휴게소(천안방향)","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"441500030","44150003","이인휴게소(천안방향)","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"441500040","44150004","탄천휴게소(논산방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"441500050","44150005","정안휴게소(순천방향)","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"441500060","44150006","아트센터 고마","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"441800020","44180002","보령시청","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"442000030","44200003","둔포면사무소","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"442100020","44210002","서산시청","급속","DC차데모+AC3상+DC콤보","사용불가","50","Wed Sep 23 14:08:19 2020"
"442100030","44210003","지곡면 공영주차장","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"442300010","44230001","벌곡휴게소(대전방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"442500030","44250003","엄사상점가 공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"442700010","44270001","면천면사무소","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"442700020","44270002","행담도휴게소(서울방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"442700030","44270003","행담도휴게소(목포방향)","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"447100010","44710001","인삼랜드휴게소(하남방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"447100020","44710002","인삼랜드휴게소(통영방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"447100030","44710003","금산군청","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"447600010","44760001","부여백제휴게소(공주방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"447600020","44760002","부여백제휴게소(서천방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"447600030","44760003","동부여석성휴게소","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"447700010","44770001","서면사무소","급속","DC차데모+AC3상+DC콤보","사용불가","50","Wed Sep 23 14:08:19 2020"
"447900020","44790002","청양읍사무소 앞 공영주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"447900030","44790003","정산면사무소","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"448000050","44800005","홍주종합경기장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"448000060","44800006","광천생활체육공원","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"448100020","44810002","예산복합문화복지센터","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"448250010","44825001","안면읍사무소","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"448250020","44825002","남면사무소","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"448250030","44825003","태안상설시장 공영주차장","급속","DC차데모+AC3상+DC콤보","사용불가","50","Wed Sep 23 14:08:19 2020"
"448300010","44830001","롯데마트 당진점","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"448300020","44830002","천의삼거리","급속"," DC차데모","사용가능","50","Wed Sep 23 14:08:19 2020"
"448300030","44830003","삼봉4리사무소","급속"," DC차데모","사용가능","50","Wed Sep 23 14:08:19 2020"
"448300040","44830004","당진근로자복지회관","급속","DC차데모+AC3상","사용가능","50","Wed Sep 23 14:08:19 2020"
"451110010","45111001","이마트 전주점","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"451130010","45113001","전주덕진공원 주차장","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"451300050","45130005","예술의 전당","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"451300060","45130006","금강철새조망대","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"451400010","45140001","여산휴게소(순천방향)","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"451400020","45140002","함열올림픽 스포츠센터","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"451600180","45160018","전라남도 동부지역본부","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"451800040","45180004","정읍녹두장군휴게소(논산방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"451800050","45180005","정읍녹두장군휴게소(순천방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"451900020","45190002","지리산휴게소(옥포방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"451900030","45190003","지리산휴게소(고서방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"457100020","45710002","근로자종합복지관","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"457200010","45720001","진안군청","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"457300020","45730002","덕유산휴게소(하남방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"457300030","45730003","무주읍주민자치센터","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"457300040","45730004","안성면주민자치센터","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"457400010","45740001","덕유산휴게소(통영방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"457400020","45740002","장수군청","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"457500030","45750003","오수휴게소(전주방향)","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"457500040","45750004","오수휴게소(광양방향)","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"457900040","45790004","고창군 읍성주차장","급속","DC차데모+AC3상+DC콤보","사용중","50","Wed Sep 23 14:08:19 2020"
"461300070","46130007","전남 국제교육원 기숙사옆 주차장","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
"461300080","46130008","여수시청 직장어린이집앞","급속","DC차데모+AC3상+DC콤보","사용가능","50","Wed Sep 23 14:08:19 2020"
